date;reg_code;reg_name;total_vaccines;reg_pop_tot;percent_pop_vac
2021-01-11;28;Normandie;12559;3400150;0.3693660573798215
2021-01-12;01;Guadeloupe;96;393401;0.02440258158977735
2021-01-12;06;Mayotte;0;;
2021-01-13;52;Pays de la Loire;12354;3871617;0.319091480381453
2021-01-15;03;Guyane;76;278472;0.0272917923525525
2021-01-17;28;Normandie;31488;3400150;0.9260767907298206
2021-01-18;01;Guadeloupe;430;393401;0.1093032300375444
2021-01-19;04;La Réunion;702;865507;0.08110852945152379
2021-01-20;52;Pays de la Loire;31167;3871617;0.8050124792819126
2021-01-20;53;Bretagne;31313;3425074;0.9142284225099955
2021-01-21;02;Martinique;1169;373762;0.3127658777510822
2021-01-22;52;Pays de la Loire;48449;3871617;1.2513892774001147
2021-01-25;94;Corse;5468;343726;1.5908019759925056
2021-01-12;94;Corse;1094;343726;0.31827676695972956
2021-01-14;04;La Réunion;0;865507;0.0
2021-01-17;01;Guadeloupe;430;393401;0.1093032300375444
2021-01-17;94;Corse;2158;343726;0.6278256518273276
2021-01-18;04;La Réunion;408;865507;0.04714000002310784
2021-01-19;52;Pays de la Loire;25187;3871617;0.6505550523205162
2021-01-25;84;Auvergne-Rhône-Alpes;118972;8167945;1.456572001892765
2021-01-12;28;Normandie;15645;3400150;0.46012675911356854
2021-01-12;52;Pays de la Loire;9578;3871617;0.2473901731498751
2021-01-14;11;Île-de-France;61173;12328447;0.49619388394985997
2021-01-18;75;Nouvelle-Aquitaine;52036;6117956;0.8505455089902575
2021-01-19;03;Guyane;198;278472;0.07110230112901836
2021-01-19;76;Occitanie;57247;6009622;0.9525890313899943
2021-01-22;11;Île-de-France;156132;12328447;1.2664368837372624
2021-01-23;53;Bretagne;50857;3425074;1.4848438311113863
2021-01-24;24;Centre-Val de Loire;40652;2631697;1.544706704457238
2021-01-26;11;Île-de-France;187301;12328447;1.5192586706176374
2021-01-26;93;Provence-Alpes-Côte d'Azur;92491;5128856;1.8033456193739892
2021-01-14;03;Guyane;29;278472;0.010413973397684507
2021-01-19;32;Hauts-de-France;46444;6096682;0.7617914137558758
2021-01-22;28;Normandie;59865;3400150;1.7606576180462625
2021-01-23;01;Guadeloupe;1229;393401;0.3124038830607955
2021-01-24;03;Guyane;1651;278472;0.5928782786061076
2021-01-25;04;La Réunion;2378;865507;0.27475225503664324
2021-01-25;28;Normandie;66581;3400150;1.9581783156625443
2021-01-26;32;Hauts-de-France;95141;6096682;1.5605373545807375
2021-01-26;44;Grand Est;102762;5658527;1.8160556625425663
2021-01-16;84;Auvergne-Rhône-Alpes;43340;8167945;0.5306108207143903
2021-01-17;32;Hauts-de-France;32494;6096682;0.5329784299066279
2021-01-20;11;Île-de-France;119695;12328447;0.970884654003866
2021-01-20;32;Hauts-de-France;55219;6096682;0.9057221616610477
2021-01-21;24;Centre-Val de Loire;28877;2631697;1.0972767761638211
2021-01-24;02;Martinique;1643;373762;0.43958454845596934
2021-01-24;28;Normandie;62056;3400150;1.825095951649192
2021-01-26;84;Auvergne-Rhône-Alpes;132511;8167945;1.6223297292036125
2021-01-11;76;Occitanie;12582;6009622;0.2093642495318341
2021-01-11;84;Auvergne-Rhône-Alpes;12438;8167945;0.15227820461572647
2021-01-12;11;Île-de-France;40696;12328447;0.3300983489647966
2021-01-12;32;Hauts-de-France;13280;6096682;0.2178233996787105
2021-01-13;28;Normandie;18971;3400150;0.5579459729717806
2021-01-17;53;Bretagne;18911;3425074;0.552134056081708
2021-01-19;93;Provence-Alpes-Côte d'Azur;45978;5128856;0.8964572216494283
2021-01-20;01;Guadeloupe;781;393401;0.19852516897516784
2021-01-21;01;Guadeloupe;781;393401;0.19852516897516784
2021-01-21;27;Bourgogne-Franche-Comté;52195;2881889;1.8111384581432526
2021-01-22;04;La Réunion;1990;865507;0.22992303932839364
2021-01-24;01;Guadeloupe;1299;393401;0.3301974321366748
2021-01-25;75;Nouvelle-Aquitaine;118533;6117956;1.9374608120751442
2021-01-26;02;Martinique;1849;373762;0.4946998357243379
2021-01-12;04;La Réunion;0;865507;0.0
2021-01-13;03;Guyane;0;278472;0.0
2021-01-14;53;Bretagne;13967;3425074;0.40778680986162635
2021-01-16;04;La Réunion;305;865507;0.03523946080158797
2021-01-20;27;Bourgogne-Franche-Comté;42588;2881889;1.4777807195211197
2021-01-20;93;Provence-Alpes-Côte d'Azur;51207;5128856;0.99840978183049
2021-01-24;52;Pays de la Loire;54279;3871617;1.401972354186894
2021-01-26;04;La Réunion;2852;865507;0.32951784329878325
2021-01-13;75;Nouvelle-Aquitaine;28428;6117956;0.4646649959561658
2021-01-14;06;Mayotte;0;;
2021-01-16;27;Bourgogne-Franche-Comté;24638;2881889;0.8549253631906016
2021-01-16;28;Normandie;30907;3400150;0.9089893092951782
2021-01-18;32;Hauts-de-France;36537;6096682;0.5992931893118256
2021-01-19;53;Bretagne;25598;3425074;0.7473707137422433
